% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000079    191.41379  -58.24615    0.46     302.1687    4.6170   220.0604  -47.6228
000080    203.82759  -58.24615    0.56     308.6936    4.1340   227.9271  -44.0735
000081    216.24138  -58.24615    1.36     314.9981    2.4175   235.7625  -41.0253
000082    228.65517  -58.24615    7.17     320.8600   -0.4485   243.6129  -38.5348
000083    241.06897  -58.24615    0.33     326.1048   -4.3358   251.4987  -36.6508
000084    253.48276  -58.24615    0.13     330.6053   -9.0891   259.4215  -35.4119
000085    265.89655  -58.24615    0.11     334.2664  -14.5415   267.3700  -34.8443
000086    278.31034  -58.24615    0.09     336.9992  -20.5229   275.3254  -34.9604
000087    290.72414  -58.24615    0.11     338.6903  -26.8605   283.2671  -35.7576
000088    303.13793  -58.24615    0.05     339.1679  -33.3712   291.1781  -37.2187
000089    315.55172  -58.24615    0.05     338.1618  -39.8450   299.0509  -39.3131
000090    327.96552  -58.24615    0.03     335.2666  -46.0160   306.8928  -41.9985
000091    340.37931  -58.24615    0.02     329.9452  -51.5215   314.7321  -45.2232
000092    352.79310  -58.24615    0.01     321.7006  -55.8605   322.6260  -48.9283
000093      4.29412  -51.32308    0.01     315.6316  -64.9521   336.7601  -47.2966
000094     14.88235  -51.32308    0.02     299.8524  -65.7568   344.8721  -51.2703
000095     25.47059  -51.32308    0.02     284.8023  -63.9928   353.5317  -55.4028
000096     36.05882  -51.32308    0.03     273.3052  -60.1331     3.0537  -59.6077
000097     46.64706  -51.32308    0.02     265.7386  -54.9071    13.9260  -63.7685
000098     57.23529  -51.32308    0.01     261.2658  -48.8960    26.9027  -67.7128
000099     67.82353  -51.32308    0.01     259.0042  -42.4755    43.0574  -71.1656
000100     78.41176  -51.32308    0.02     258.3304  -35.8850    63.4412  -73.6942
000101     89.00000  -51.32308    0.06     258.8519  -29.2884    87.6229  -74.7541
000102     99.58824  -51.32308    0.05     260.3336  -22.8124   112.2202  -74.0228
000103    110.17647  -51.32308    0.13     262.6397  -16.5675   133.4370  -71.7300
000104    120.76471  -51.32308    0.42     265.6956  -10.6603   150.3262  -68.4134
000105    131.35294  -51.32308    0.64     269.4618   -5.2009   163.8124  -64.5367
000106    141.94118  -51.32308    0.65     273.9125   -0.3064   175.0147  -60.4012
000107    152.52941  -51.32308    0.42     279.0166    3.8998   184.7477  -56.1945
000108    163.11765  -51.32308    0.31     284.7189    7.2925   193.5420  -52.0411
000109    173.70588  -51.32308    0.15     290.9240    9.7536   201.7389  -48.0317
000110    184.29412  -51.32308    0.14     297.4876   11.1861   209.5622  -44.2387
000111    194.88235  -51.32308    0.19     304.2219   11.5284   217.1616  -40.7241
000112    205.47059  -51.32308    0.21     310.9153   10.7651   224.6383  -37.5432
000113    216.05882  -51.32308    0.41     317.3621    8.9300   232.0601  -34.7462
000114    226.64706  -51.32308    0.37     323.3893    6.1000   239.4704  -32.3784
000115    237.23529  -51.32308    2.23     328.8719    2.3819   246.8939  -30.4794
000116    247.82353  -51.32308    1.14     333.7311   -2.1022   254.3407  -29.0825
000117    258.41176  -51.32308    0.23     337.9232   -7.2268   261.8099  -28.2127
000118    269.00000  -51.32308    0.16     341.4214  -12.8706   269.2930  -27.8862
